Job_Name,Organization,Location,Skillset
Data Scientist / Machine Learning / Data Science,Collabera Technologies Private Limited,Bengaluru,"['data science', ' machine learning', ' artificial intelligence', ' python', ' r', 'data science', ' machine learning', ' artificial intelligence', ' python', ' r']"
Data Scientist -R Programmer,Optidesk Solutions Private Limited,Bengaluru,"['data science', ' artificial intelligence', ' machine learning', ' r', ' sql server...', 'data science', ' artificial intelligence', ' machine learning', ' r', ' sql server...']"
Data Architect/data Scientist,HCL Technologies Ltd,Bengaluru,"['olap', ' outbound', ' oltp', ' nosql', ' sql server', ' data architecture', ' etl...', 'olap', ' outbound', ' oltp', ' nosql', ' sql server', ' data architecture', ' etl...']"
Data Scientist for Morgan Stanley Bangalore,Morgan Stanley Advantage Services Pvt. Ltd.,Bengaluru,"['text mining', ' r', ' data analysis', ' machine learning', ' data analytics', ' sql...', 'text mining', ' r', ' data analysis', ' machine learning', ' data analytics', ' sql...']"
Data Scientist (5-8 Years),Indegene Private Limited,Bengaluru,"['c', ' sas', ' python', ' r', ' machine learning', ' advanced analytics', ' data science...', 'c', ' sas', ' python', ' r', ' machine learning', ' advanced analytics', ' data science...']"
.( Senior ) Data Scientist,Zeotap - Startup,Bengaluru,"['deep learning', ' data science', ' python', ' spark', ' machine learning', ' algorithms...', 'deep learning', ' data science', ' python', ' spark', ' machine learning', ' algorithms...']"
Data Scientist,Globallogic India Ltd,Bengaluru,"['sql', ' tableau', ' data scientist', ' r', ' machine learning', ' large - scale computing', 'sql', ' tableau', ' data scientist', ' r', ' machine learning', ' large - scale computing']"
Sr.data Scientist (machine Learning and Deep Learning) for Bangalore,HR CENTRAL,Bengaluru,"['deep learning', ' machine learning', ' iot', ' image analytics', ' computer vision...', 'deep learning', ' machine learning', ' iot', ' image analytics', ' computer vision...']"
Data Scientist,Premium,Bengaluru,"['sql', ' alteryx', ' tableau', ' sas', ' vba', ' r', ' hadoop', ' python', ' statistics', ' analytics...', 'sql', ' alteryx', ' tableau', ' sas', ' vba', ' r', ' hadoop', ' python', ' statistics', ' analytics...']"
Data Scientist - R/python - Retail Domain,Premium,"Bengaluru, Hyderabad, Pune","['data science', ' r', ' python', ' data cleansing', ' cleansing', ' validation', 'data science', ' r', ' python', ' data cleansing', ' cleansing', ' validation']"
Con / AM - Data Scientist,Pylon Management Consulting Pvt Ltd,Bengaluru,"['sas', ' statistical modeling', ' sql', ' business analytics', ' statistical analysis...', 'sas', ' statistical modeling', ' sql', ' business analytics', ' statistical analysis...']"
Excellent Opening for Senior Data Scientist-bangalore,HR CENTRAL,Bengaluru,"['deep learning', ' python', ' java', ' machine learning', ' r', ' github', ' c#...', 'deep learning', ' python', ' java', ' machine learning', ' r', ' github', ' c#...']"
Opening for Data Scientist,iSearch Consulting Services Pvt Ltd,Bengaluru,"['supply chain', ' customer analytics', ' insurance analytics', ' retail analytics...', 'supply chain', ' customer analytics', ' insurance analytics', ' retail analytics...']"
Data Scientist,Pylon Management Consulting Pvt Ltd,Bengaluru,"['machine learning', ' nlp', ' r', ' advanced analytics', ' sas', ' model development', 'machine learning', ' nlp', ' r', ' advanced analytics', ' sas', ' model development']"
"Data Scientist,",Pylon Management Consulting Pvt Ltd,Bengaluru,"['deep learning', ' nlp', ' machine learning', ' regression', 'deep learning', ' nlp', ' machine learning', ' regression']"
Data Scientist for top tech Australian Based Company,Live connections,Bengaluru,"['scala', ' python', ' r language', ' statistical analysis', ' statistical modeling...', 'scala', ' python', ' r language', ' statistical analysis', ' statistical modeling...']"
Data Scientist - Machine Learning/r/python,Premium,Bengaluru,"['machine learning', ' r', ' python', ' data mining', ' research', ' analytics', ' statistics...', 'machine learning', ' r', ' python', ' data mining', ' research', ' analytics', ' statistics...']"
Senior Data Scientist/senior Statistician - PhD - Aerospace,Premium,Bengaluru,"['data analytics', ' r', ' statistics', ' sas', ' operations research...', 'data analytics', ' r', ' statistics', ' sas', ' operations research...']"
Lead - Data Scientist - Artificial Intelligence - Aviation/aerospace,Premium,Bengaluru,"['c++', ' artificial intelligence', ' java', ' python', ' machine learning', ' algorithms...', 'c++', ' artificial intelligence', ' java', ' python', ' machine learning', ' algorithms...']"
"Data Scientist- Machine Learning, Computer Vision, Predictive Modeling",Eka Software Solutions Private Limited,Bengaluru,"['nlp', ' data mining', ' machine learning', ' analytics', ' hadoop', ' statistics...', 'nlp', ' data mining', ' machine learning', ' analytics', ' hadoop', ' statistics...']"
Trainee - Data Scientist/ USA Australia,MNC,"Mumbai, Bengaluru, Pune","['data scientist', 'data scientist']"
Trainer- Data Scientist,MNC,"Mumbai, Bengaluru","['data scientist', ' python', 'data scientist', ' python']"
Data Scientist III  -  (B3),Applied Materials India Private Limited,Bengaluru,"['analytical', ' fabrication', ' data mining', ' unix', ' git', ' computer science...', 'analytical', ' fabrication', ' data mining', ' unix', ' git', ' computer science...']"
