Job_Name	Skillset	Location	Organization
Immediate Requirement: Oracle Hyperion Functional Consultant	User Experience, User Stories, Product Management, Business Analytics...	Bhopal, MP	Premium
Senior Business Intelligence Developer- PI COE	user experience, product management, business analytics, product manager...	Bhopal, Madhya Pradesh	Premium
Business Intelligence Analyst II - (B2)	Machine Learning, Business Analysis, Data Analysis, R, Business Analytics...	Bengaluru	ManpowerGroup Services India Private Limited
Obiee Developer	excel, sas, vba, ba, business analytics, business consulting...	Delhi NCR, Mumbai, Bengaluru, Chennai, Hyderabad, Pune, Kolkata, Ahmedabad, Surat	Antomech Technologies India Private Limited
Tech Lead - Etl/business Intelligence	SSRS, SSIS, SQL Server, SSAS, MSBI, Cube, Oracle, Business Analytics...	Bengaluru	Mindteck (India) Ltd
Head of Business Intelligence	Business Analytics, MBA, Business, Management, Business Consulting	Germany, Hong Kong	Radvision World Consultancy
Analyst - Business Intelligence	Service, Analytics, Auditing, Actuarial, Data analysis, Business Analyst...	Bengaluru	Confidential
Senior Product Manager - Data Development - Healthcare	Business Analysis, Requirement Gathering, Business Analytics	Gurgaon	Brainwork Techno Solutions (P) Ltd.
Manager - Business Intelligence	Risk Mitigation, Project Management, Business Analytics, Risk Management...	Hyderabad	Dr. Reddys Laboratories Ltd.
Cybage Software - Hiring Power BI Developers(power BI)	business analytics, software services, b.tech, .net developer	Hyderabad	Excel Talent Plus
Senior Manager - Business Analyst - IIM/ MDI/ ISB	QlikView, Tools, Business analytics, Analytical, Actuarial...	Bengaluru	Confidential
PIFS Testing ETL Testing Staff	Requirement Gathering, Business Analysis, Business Case, Mba, bca...	Bengaluru, Chennai, Hyderabad	Ziphertech
Manager SAS Reporting	SQL Server, ETL, Oracle, Data Warehousing, Data Modeling, QlikView, PLSQL...	Bengaluru	Mindteck (India) Ltd
Project Management Professional	Advanced Excel, Data Analysis, Business Analytics, MS Office...	Indore, Kannur, Thrissur	FreeLancer Alok Sharma
SAP BW	business analysis, quality analysis, business analytics, business analyst...	Bengaluru(Koramangala)	Local Fox
Opening for BI Analyst - Bangalore Location	Business Consulting, Business Analytics, Presales, rfp, rfi...	Delhi NCR	People Arena Talent Acquisition LLP
R&D; System Architect - It/telecom	Machine Learning, Advanced Analytics, R, Data Visualization, Data Mining...	Bengaluru(Whitefield)	Tredence Analytics Solutions Private Limited
Spotfire Administrator - Windows	SQL Scripting, Oracle Reports, Report Studio, Analysis Studio, Query Studio...	Hyderabad, Pune	Prolifics Corporation Limited
Immediate Opening for Project Manager with US Based MNC: Hyderabad	Mba Fresher, Business Analytics, Advanced Excel, Communication Skills	Hyderabad(Jubilee Hills)	Way2 Online Interactive India Pvt. Ltd.
Software Developer Engineer Tableau + Big data	information technology, assistant general manager it, Business Analytics...	Gurgaon	Varuna Integrated Logistics Pvt Ltd
Sr. Product Manager/product Manager (internet Product)	data analyst, Data, Analytics, Business Modeling, business analytics...	Gurgaon	Clearway Advisors
Data Analyst	soap, xml, json, sql server, database development, data analyst, bi analyst...	Mumbai	Right Jobs Solutions
Microsoft BI Developer | ALT Balaji | Mumbai	business analytics, end user, succession planning, it head, ERP Manager	Delhi NCR	IFANglobal India Pvt. Ltd.
Associate Data Analyst	ea to cmd, analytics, executive assistant, Business Analytics...	Mumbai	Premium
Business Intelligence Developer	SEO, Digital Marketing, Affiliate Marketing, SEM, Online Marketing...	Gurgaon	Arc Consulting
Hadoop / Azure with Business Intelligence - A Top MNC - BLR, Hyd,che	Business Analyst, visualizations, analytics, business analytics...	Bengaluru	Premium
Senior Business Analyst/business Intelligence Manager - Internet/onlin	Presales, Analytics, Business Analytics, client relationship...	Bengaluru	Premium
Head - Data Services & Business Intelligence - Ecommerce Product Devel	Analytics, SAS, R, SPSS, Business Analytics, SQL, Predictive Modeling, Data...	Mostly Location, Overall India	Metro Career Solutions Pvt Ltd
Qliksense Developer - Business Intelligence & Data Warehousing	competitive intelligence, market intelligence, market research...	Gurgaon	Ikon Staffing Solutions Pvt. Ltd.
Paytm Hiring For BI Roles - Noida 	SAS, SQL, Statistical Programming, R, SPSS, Business Analytics, Tableau...	Delhi NCR, Gurgaon	Premium
Data Engineer _ R / Python _ Machine Learning _ Analytics	SAS, SQL, Statistical Programming, R, SPSS, Business Analytics, Tableau...	Delhi NCR, Gurgaon	Premium
Senior Analyst Research Analytics & Insights	marketing, sales, excel, strategic planning, business analytics...	Mumbai	Vertex Corporate Services (I) Pvt Ltd
CIB F&BM;  -  Qlikview Reporting	SQL, Business Analytics, Tableau, Presales, R, Data Analysis...	United States (U.S)	Premium
Exclusive Opening for MSBI Professionals @ Mastek	analytics, business intelligence, data storage, data architecture, business...	Bengaluru	Recruise India Consulting Pvt. Ltd.
Freshers for Inside Sales (IT) - Domestic & International	Webtrends, Advanced Analytics, Customer Segmentation, Business Analytics...	Bengaluru	Recruise India Consulting Pvt. Ltd.
Digital Marketing Manager - Facebook	data analysis, business analytics, sas, r, client presentations...	Mumbai	Pylon Management Consulting Pvt Ltd
Great Start for Freshers - Marketing / B2B / B2C / Sales	business analytics, data analysis, R, SAS, Python, Analytics...	Chennai	Premium
Solution Architect - BI	advanced excel, vba, pricing analysis, business analytics, business case...	Bengaluru	Pharma Focus
Software Cloud Financial Associate	six sigma, certified black belt, operations, business analytics...	Bengaluru	Premium
Senior Analyst Research Analytics & Insights	six sigma, business analysis, business analytics, operations, consulting...	Bengaluru	Premium
Direct walk in Drive - SAP Bi/bo Reporting Expert - 10th Mar 18	Marketing, Affordable Housing, Business Analytics...	Mumbai, Mumbai Suburbs	VITASTA CONSULTING PVT LTD
Qlikview Developer	management reporting, variance analysis, financial analysis...	Mumbai(Govandi)	USV Pvt Ltd
System Analyst	strategy, business planning, dashboard, Business Analytics...	Hyderabad(Gachibowli)	Vaya Finserv Private Limited
MSBI Developer	SSRS, SSIS, SQL Server, SSAS, MSBI, Cube, Oracle, Business Analytics...	Bengaluru	Mindteck (India) Ltd
Mindtree - Network Engineer -switching & Routing - Chennai,pune,hyd	SQL Server, ETL, Oracle, Data Warehousing, Data Modeling, QlikView, PLSQL...	Bengaluru	Mindteck (India) Ltd
Sr. Software Engineer-bidw	Marketing, Business Analytics, Digital	Mumbai	Orbis Hospitality Services Pvt. Ltd
Associate Professor - Business Intelligence	User Experience, User Stories, Product Management, Business Analytics...	Bhopal	Premium
Professor - Business Intelligence	Business Development, Strategic Planning, Operations Management, Strategy...	Mumbai	Premium
Faculty - Business  Intelligence	Digital Marketing, SEO, Affiliate Marketing, SEM, Online Marketing, PPC...	Gurgaon	Premium
Digital Marketing Analyst - Analytics & Business Intelligence Firm	Retail Analytics, Business Analysis, Excel, SAS, Data Analytics, VBA...	Delhi NCR, Bengaluru, Gurgaon	HuQuo
Business Intelligence Developer	analytics, sales Pre sales, Presales, RFP, Analytical presales, CPG, FMCG...	Bengaluru	HR CENTRAL
Head - Data Services & Business Intelligence	credit risk, risk analytics, business analysis, sas, excel, data analytics,...	Delhi NCR, Bengaluru, Gurgaon	HuQuo
Freshers SAP ABAP / HANA Consultants - Entry Level Jobs.	SAS, Statistical Modeling, SQL, Business Analytics, Statistical Analysis...	Bengaluru	Pylon Management Consulting Pvt Ltd
Business Solutions Analyst	business analysis, data analytics, sas, vba, business analyst...	Delhi NCR, Bengaluru, Gurgaon	HuQuo
Manager/senior Manager - Big Data Analytics - Banking Domain	manager - sales, sales, data warehousing, business analytics...	Bengaluru	Premium
Senior SAP BW Architect	Business Analysis, Risk Analytics, Excel, Credit Risk, SAS, Data Analytics,...	Delhi NCR, Bengaluru, Gurgaon	HuQuo
BI Consultant- Tableau+ Qlik for MNC Company- Hyderabad	business development, client relationship management, rfp...	Mumbai	Premium
BI Specialist	Retail Analytics, Business Analysis, Excel, SAS, Data Analytics, VBA...	Delhi NCR, Gurgaon	HuQuo
Mindtree Job Opening - Power BI - Chennai,pune and Hyderabad	Project Management, Business Analysis, Accounting, Product Management...	Mumbai	Think People Solutions Private Ltd
BI Specialist	Digital Marketing, Affiliate Marketing, Sales, Social Media, B2B...	Mumbai	Premium
Manager - Business Intelligence - Analytics - Retail	Business Planning, strategic planning, strategy, corporate planning...	Delhi	Ace Recruitment and Placment Consultants Pvt Ltd
SAP - BW Professionals	SAS, Lgd, Risk Management, R, Chaid, Risk Analytics, Time Series Analysis...	Bengaluru, Kolkata	Premium
Qliksense Developer - Business Intelligence & Data Warehousing	sas, lgd, risk management, r, chaid, risk analytics, time series analysis...	Bengaluru, Kolkata	Premium
Business Intelligence Analyst - Data Modeling/mining	buying, store planning, inventory optimization, Merchandising...	Mumbai	Infiniti Retail Ltd.
Data Warehouse & Business Intelligence	""" ; business analyst"" ; , "" ; business analytics"" ; ..."	Mumbai	Riya Travel and Tours Pvt. Ltd
Qliksense Developer - Business Intelligence & Data Warehousing	Teaching, Professor Activities	Bengaluru(9th Block Jayanagar)	M/S I-NURTURE EDUCATION SOLUTIONS PVT LTD.
Datastage Developer	Finance, Financial Planning, Business Analytics, Senior Management...	Gurgaon	Global Hunt India Pvt. Ltd.
Software Development Engineer - Bi/dw/hadoop	Business Analytics, Analytics, macro, excel	Mumbai	Kennis Huis
Head of Applications & SAP	business development management, sales, bdm, client acquisition, rfp...	Bengaluru	Sunovaa Tech Pvt. Ltd.
Data Architect - Big Data - Analytics Firm	Business Head, Media Research, Analytics, Blockchain, research	Bengaluru	Zenprivex- Startup
FP&A; + MI + Tableau	sas programming, logistic regression, predictive modeling...	Gurgaon	HuQuo
Analytics & Reporting Openings with a Financial Services Firm, Gurgaon	key account management, kam, key accounts, new business, business analytics...	Chennai	SV Management Consultants
Immediate Opening for Senior Consultant- Data Analytics @ Chennai	strategy, management consulting, strategic consulting, business planning...	Bengaluru, Hyderabad, Pune	Elite Tech Recruiters
Senior Systems Engineer - Hana/bi	financial analysis, finance, financial statements, financial projections...	Delhi	HR Escalations
Power BI Expert	Data Analytics, Python, MATLAB, R, SQL, Visualization, Machine Learning...	Pune	Premium
Technical Lead-bi	business analysis, data analytics, sas, vba, Analytics, Statistics	Delhi NCR	Premium
Urgent Openings for Informatica/cognos/bos Data Ware House	sql, business analysis, data analytics, data mining, sas, vba...	Delhi NCR, Gurgaon	HuQuo
Urgent Openings for Informatica/cognos/bos Data Ware House	market research, competitive intelligence, market intelligence...	Gurgaon, Gurugram	Premium
