Job_Name,Organization,Location,Skillset,Skillset_list
Data Scientist for Morgan Stanley Bangalore,Morgan Stanley Advantage Services Pvt. Ltd.,Bengaluru,"textmining,r,dataanalysis,machinelearning,dataanalytics,sql","['textmining', 'r', 'dataanalysis', 'machinelearning', 'dataanalytics', 'sql']"
.( Senior ) Data Scientist,Zeotap - Startup,Bengaluru,"deeplearning,datascience,python,spark,machinelearning,algorithms","['deeplearning', 'datascience', 'python', 'spark', 'machinelearning', 'algorithms']"
Data Scientist - A Big Data Analytics firm - Bangalore,HR CENTRAL,Bengaluru,"machinelearning,datascientist,algorithm,python,modeling","['machinelearning', 'datascientist', 'algorithm', 'python', 'modeling']"
Data Scientist,Naukri Premium - Employer Services,Bengaluru,"r,machinelearning,predictivemodeling,statisticalmodeling,python","['r', 'machinelearning', 'predictivemodeling', 'statisticalmodeling', 'python']"
Data Scientist,Premium,Bengaluru,"sql,alteryx,tableau,sas,vba,r,hadoop,python,statistics,analytics","['sql', 'alteryx', 'tableau', 'sas', 'vba', 'r', 'hadoop', 'python', 'statistics', 'analytics']"
Data Scientist - R/python - Retail Domain,Premium,"Bengaluru, Hyderabad, Pune","datascience,r,python,datacleansing,cleansing,validation","['datascience', 'r', 'python', 'datacleansing', 'cleansing', 'validation']"
Data Scientist - Nlp/machine Learning,Premium,Bengaluru,"machinelearning,naturallanguageprocessing,deeplearning,nlp","['machinelearning', 'naturallanguageprocessing', 'deeplearning', 'nlp']"
Principal Data Scientist for a German Based OEM,Yashas Management Solutions,Bengaluru(Nelamangala),"dataanalysis,dataanalytics,python,r,matlab,sql,nosql","['dataanalysis', 'dataanalytics', 'python', 'r', 'matlab', 'sql', 'nosql']"
Con / AM - Data Scientist,Pylon Management Consulting Pvt Ltd,Bengaluru,"sas,statisticalmodeling,sql,businessanalytics,statisticalanalysis","['sas', 'statisticalmodeling', 'sql', 'businessanalytics', 'statisticalanalysis']"
Data Scientist - R/ Python/ Hadoop,Premium,Bengaluru,"java,mysql,python,datascience,mongodb,machinelearning,hadoop,r","['java', 'mysql', 'python', 'datascience', 'mongodb', 'machinelearning', 'hadoop', 'r']"
Manager - Data Scientist,Corp Placements,"Mumbai, Bengaluru","datascientist,vpnscientist,datascience,machinelearningmodels","['datascientist', 'vpnscientist', 'datascience', 'machinelearningmodels']"
Excellent Opening for Senior Data Scientist-bangalore,HR CENTRAL,Bengaluru,"deeplearning,python,java,machinelearning,r,github,c","['deeplearning', 'python', 'java', 'machinelearning', 'r', 'github', 'c']"
Lead - Data Scientist,Arcadis Consulting India Pvt. Ltd.,Bengaluru,"python,datascience,businessintelligence,rdbms,matlab,sql,aws,azure","['python', 'datascience', 'businessintelligence', 'rdbms', 'matlab', 'sql', 'aws', 'azure']"
Opening for Data Scientist,iSearch Consulting Services Pvt Ltd,Bengaluru,"supplychain,customeranalytics,insuranceanalytics,retailanalytics","['supplychain', 'customeranalytics', 'insuranceanalytics', 'retailanalytics']"
Data Scientist,Pylon Management Consulting Pvt Ltd,Bengaluru,"machinelearning,nlp,r,advancedanalytics,sas,modeldevelopment","['machinelearning', 'nlp', 'r', 'advancedanalytics', 'sas', 'modeldevelopment']"
"Data Scientist,",Pylon Management Consulting Pvt Ltd,Bengaluru,"deeplearning,nlp,machinelearning,regression","['deeplearning', 'nlp', 'machinelearning', 'regression']"
Data Scientist for top tech Australian Based Company,Live connections,Bengaluru,"scala,python,rlanguage,statisticalanalysis,statisticalmodeling","['scala', 'python', 'rlanguage', 'statisticalanalysis', 'statisticalmodeling']"
Data Scientist - R Programming,Premium,Bengaluru,"sql,r,dataanalysis,predictiveanalytics,bigdata,nosql,hbase","['sql', 'r', 'dataanalysis', 'predictiveanalytics', 'bigdata', 'nosql', 'hbase']"
Opening for Data Scientist Position,Careernet Technologies Pvt Ltd,Bengaluru,"datascience,bigdata,machinelearning,hadoop,hive","['datascience', 'bigdata', 'machinelearning', 'hadoop', 'hive']"
Data Scientist,HUNTINGCUBE RECRUITMENT SOLUTIONS PRIVATE LIMITED,Bengaluru,"datamining,machinelearning,r,dataanalysis,statisticalanalysis","['datamining', 'machinelearning', 'r', 'dataanalysis', 'statisticalanalysis']"
Vice President - Data Scientist - Investment Bank,Premium,Bengaluru,"machinelearning,neuralnetworks,python,r,sql,algorithms","['machinelearning', 'neuralnetworks', 'python', 'r', 'sql', 'algorithms']"
Opening for Data Scientist,iSearch Consulting Services Pvt Ltd,Bengaluru,"inventoryoptimization,supplychain,customeranalytics","['inventoryoptimization', 'supplychain', 'customeranalytics']"
Director - Data Scientist,Epsilon,Bengaluru,"tools,sas,datamanagement,opensource,sql,computerscience","['tools', 'sas', 'datamanagement', 'opensource', 'sql', 'computerscience']"
Senior Data Scientist,AIG Analytics & Services Private Limited,Bengaluru,"sql,linux,shellscripting,python,sas,matlab,analytics","['sql', 'linux', 'shellscripting', 'python', 'sas', 'matlab', 'analytics']"
Trainee - Data Scientist/ USA Australia,MNC,"Mumbai, Bengaluru, Pune",datascientist,['datascientist']
Trainer- Data Scientist,MNC,"Mumbai, Bengaluru","datascientist,python","['datascientist', 'python']"
Data Scientist III  -  (B3),Applied Materials India Private Limited,Bengaluru,"analytical,fabrication,datamining,unix,git,computerscience","['analytical', 'fabrication', 'datamining', 'unix', 'git', 'computerscience']"
Data Scientist (5-8 Years),Indegene Private Limited,Bengaluru,"c,sas,python,r,machinelearning,advancedanalytics,datascience","['c', 'sas', 'python', 'r', 'machinelearning', 'advancedanalytics', 'datascience']"
Data Scientist Lead,KRM Global,Bengaluru,datascientistlead,['datascientistlead']
Data Scientist - R/weka/sql/hive,Premium,Bengaluru,"sql,r,datamining,hive,mongodb,weka,datascientist","['sql', 'r', 'datamining', 'hive', 'mongodb', 'weka', 'datascientist']"
