,Links,job description
66,https://www.naukri.com/job-listings-Manager-Sales-Business-Development-Consumer-Durables-Electrical-Bengaluru-Chennai-Delhi-NCR-Hyderabad-Mumbai-Kochi-Kerala-2-to-7-years-130318900090?src=jobsearchDesk&sid=15210486658922&xp=17&px=1,"['channel sales', 'business development', 'consumer durables', 'channel partners', 'sales management', 'btl', 'exhibitions', 'strategy', 'Sales']"
67,https://www.naukri.com/job-listings-Sales-business-Development-Manager-Mindshare-Recruitment-Consultants-Pvt-Ltd-Mumbai-2-to-7-years-140318006525?src=jobsearchDesk&sid=15210486658922&xp=18&px=1,"['Business Development Management', 'B2B Sales', 'Corporate Sales', 'Contract Staffing', 'Facility Management']"
68,https://www.naukri.com/job-listings-Business-Development-Executive-Manager-Web-mobile-Solutions-ASIAPOWER-OVERSEAS-EMPLOYMENT-SERVICES-Mumbai-Mumbai-Suburbs-Thane-1-to-2-years-090516008199?src=jobsearchDesk&sid=15210486658922&xp=19&px=1,"['Email Marketing', 'Post Sales', 'Business Development', 'Account Management', 'Sales Support', 'Technology Solutions', 'Google AdWords', 'Web Technologies', 'Web Designing', 'Corporate Sales', 'Institutional Sales', 'Sales & Marketing']"
69,https://www.naukri.com/job-listings-Manager-Sr-Manager-Business-Development-Hospitality-Sector-Mumbai-Ceasefire-Industries-Private-Limited-Mumbai-2-to-5-years-300118006235?src=jobsearchDesk&sid=15210486658922&xp=20&px=1,"['Business Development Management', 'Sales', 'Marketing', 'Presentation Skills']"
70,https://www.naukri.com/job-listings-Urgent-Requirement-Manager-Sr-Manager-Business-Development-GOA-Ceasefire-Industries-Private-Limited-Mumbai-2-to-7-years-120318003961?src=jobsearchDesk&sid=15210486658922&xp=21&px=1,['Business Development Management']
71,https://www.naukri.com/job-listings-Business-Development-Manager-corporate-Sales-Red-Lemon-Mumbai-Gurgaon-Noida-1-to-6-years-280118000713?src=jobsearchDesk&sid=15210486658922&xp=22&px=1,"['business development management', 'corporate sales', 'web sales', 'web designing', 'Digital Sales', 'domestic sales', 'Lead Generation', 'team lead', 'Client Acquisition', 'client communication', 'client meeting']"
72,https://www.naukri.com/job-listings-Business-Development-Manager-Myforexeye-Fintech-P-Ltd-Jalandhar-Chandigarh-Mumbai-2-to-5-years-140318002636?src=jobsearchDesk&sid=15210486658922&xp=23&px=1,"['Business Development Management', 'Sales', 'direct sales', 'corporate sales', 'Insurance Sales', 'Broking', 'securities', 'Corporate Finance', 'Forwards', 'Futures', 'options', 'Risk Management', 'Hedging', 'CFA']"
73,https://www.naukri.com/job-listings-Manager-Sr-Manager-Business-Development-Corporate-Sales-Ceasefire-Industries-Private-Limited-Mumbai-Pune-3-to-6-years-090218004354?src=jobsearchDesk&sid=15210486658922&xp=24&px=1,"['Business Development Management', 'Corporate Sales', 'Lead Generation', 'New Business', 'Selling', 'Fire Fighting']"
74,https://www.naukri.com/job-listings-Sales-Business-Development-Manager-Altitude-Software-Delhi-NCR-Mumbai-2-to-6-years-140318003726?src=jobsearchDesk&sid=15210486658922&xp=25&px=1,"['Sales', 'business development', 'lead generation', 'it sales', 'Channel Sales', 'channel sales manager', 'Unified Communications', 'Cisco', 'IVR', 'Call Center', 'Contact Center', 'ip telephony', 'pbx', 'voip', 'sip', 'CTI', 'acd', 'Avaya', 'nortel', 'alcatel', 'Voice Logger', 'CRM']"
75,https://www.naukri.com/job-listings-Manager-Sr-Manager-Business-Development-Government-Sales-Ceasefire-Industries-Private-Limited-Mumbai-Ahmedabad-3-to-8-years-090218003902?src=jobsearchDesk&sid=15210486658922&xp=26&px=1,"['Sales', 'Selling', 'Bidding', 'Negotiation', 'Fire Fighting']"
